code,libelle,type,code_dren,lib_dren
033258,GROUPE SCOLAIRE RITA ROSANE ABOBO,PRIVE,41,ABIDJAN 4
035048,GROUPE SCOLAIRE LES LAUREADES COCODY,PRIVE,12,ABIDJAN 1
035067,COLLEGE PRIVE MALLET PORT-BOUET,PRIVE,31,ABIDJAN 2
035086,GROUPE SCOLAIRE LABION MAXIME PORT-BOUET PETIT-BASSAM,PRIVE,31,ABIDJAN 2
035089,GROUPE SCOLAIRE LES CAIMANS PORT-BOUET,PRIVE,31,ABIDJAN 2
035107,COLLEGE PRIVE CLAIRE FONTAINE YOPOUGON,PRIVE,40,ABIDJAN 3
035112,COLLEGE PRIVE MICHEL ARCHANGE YOPOUGON,PRIVE,40,ABIDJAN 3
035144,GROUPE ECOLES SANGBAN DE YOPOUGON WASSAKARA,PRIVE,40,ABIDJAN 3
035161,GROUPE SCOLAIRE GERMINAL YOPOUGON,PRIVE,40,ABIDJAN 3
035169,GROUPE SCOLAIRE LES BOURGEONS YOPOUGON,PRIVE,40,ABIDJAN 3
035171,GROUPE SCOLAIRE LES MIGNONS YOPOUGON,PRIVE,40,ABIDJAN 3
035173,"GROUPE SCOLAIRE LES PETITS GENIES DU MILLENAIRE /
YOPOUGON",PRIVE,40,ABIDJAN 3
035176,GROUPE SCOLAIRE NIPPON DE YOPOUGON ACADEMIE,PRIVE,40,ABIDJAN 3
035186,COLLEGE CHRIST LE ROI ABOBO,PRIVE,41,ABIDJAN 4
035194,COLLEGE LA BELLE CITE ABOBO,PRIVE,41,ABIDJAN 4
035202,COLLEGE AOF ABOBO AVOCATIER,PRIVE,41,ABIDJAN 4
035204,COLLEGE PRIVE DAVID ABOBO,PRIVE,41,ABIDJAN 4
035220,COLLEGE LE SERMENT COCODY,PRIVE,12,ABIDJAN 1
035222,COLLEGE PIERRE CHARLES II COCODY AKOUEDO,PRIVE,12,ABIDJAN 1
035242,GROUPE SCOLAIRE GRACE JEANNINE ABOBO,PRIVE,41,ABIDJAN 4
035245,GROUPE SCOLAIRE KOFFI AGO ABOBO,PRIVE,41,ABIDJAN 4
035251,GROUPE SCOLAIRE LEOPOLD SEDAR SENGHOR ABOBO,PRIVE,41,ABIDJAN 4
035253,GROUPE SCOLAIRE LES HIRONDELLES ABOBO SAGBE,PRIVE,41,ABIDJAN 4
036001,CARINE’N ADJAME,PRIVE,12,ABIDJAN 1
036002,"CENTRE D’ENSEIGNEMENT TECHNIQUE PROF. DES METIERS ET
D’ENERGIES RENOUVELABLES (CETPMER) ADJAME",PRIVE,12,ABIDJAN 1
036005,"CENTRE DE FORMATION PROFESSIONNELLE ET COMMERCIALE
(CFPC) LOKO MARCORY",PRIVE,31,ABIDJAN 2
036012,COLLEGE LA JOCONDE COCODY RIVIERA,PRIVE,12,ABIDJAN 1
036017,COLLEGE PRIVE ABRAHAM PORT-BOUET,PRIVE,31,ABIDJAN 2
036026,COLLEGE TECHNIQUE SAINTE SOLANGE YOPOUGON,PRIVE,40,ABIDJAN 3
036029,E.T.I.C MARCORY,PRIVE,31,ABIDJAN 2
036050,GROUPE HARMONIE YOPOUGON NIANGON SUD GAUCHE,PRIVE,40,ABIDJAN 3
036053,GROUPE SCOLAIRE AMICHIA YOPOUGON,PRIVE,40,ABIDJAN 3
036055,GROUPE SCOLAIRE ANDRE MALRAUX COCODY RIVIERA,PRIVE,12,ABIDJAN 1
036074,GROUPE SUCCES ABOBO PLATEAUX-DOKUI,PRIVE,41,ABIDJAN 4
